query_id	doc_id	relevance
Q001	DOC-001	3
Q001	DOC-003	2
Q001	DOC-020	1
Q002	DOC-002	3
Q002	DOC-003	1
Q002	DOC-020	1
Q003	DOC-006	3
Q003	DOC-005	2
Q004	DOC-005	3
Q004	DOC-030	2
Q004	DOC-006	1
Q005	DOC-007	3
Q005	DOC-022	1
Q006	DOC-008	3
Q006	DOC-009	1
Q007	DOC-009	3
Q007	DOC-008	2
Q007	DOC-007	1
Q008	DOC-010	3
Q008	DOC-016	1
Q009	DOC-014	3
Q009	DOC-022	2
Q009	DOC-021	1
Q010	DOC-021	3
Q010	DOC-014	2
Q010	DOC-003	1
Q011	DOC-029	3
Q011	DOC-022	1
Q012	DOC-015	3
Q013	DOC-011	3
Q013	DOC-019	1
Q014	DOC-012	3
Q014	DOC-029	2
Q015	DOC-013	3
Q015	DOC-025	1
Q016	DOC-018	3
Q016	DOC-004	2
Q017	DOC-020	3
Q017	DOC-001	2
Q017	DOC-002	1
Q018	DOC-005	3
Q018	DOC-006	2
Q018	DOC-030	2
Q019	DOC-010	3
Q019	DOC-016	2
Q019	DOC-024	1
Q020	DOC-024	3
Q020	DOC-025	3
Q020	DOC-005	2
Q020	DOC-006	2
Q020	DOC-013	1
Q021	DOC-022	3
Q021	DOC-014	2
Q021	DOC-029	1
Q022	DOC-027	3
Q022	DOC-011	1
Q023	DOC-028	3
Q023	DOC-004	1
Q024	DOC-017	3
